z	n	A	E2+            err
52         58        110         100.00000000         100.00000000
52         60        112         100.00000000         100.00000000
52         62        114         100.00000000         100.00000000
52         64        116         100.00000000         100.00000000
52         66        118         100.00000000         100.00000000
52         68        120         100.00000000         100.00000000
52         70        122         100.00000000         100.00000000
52         72        124         100.00000000         100.00000000
52         74        126         100.00000000         100.00000000
52         76        128         100.00000000         100.00000000
52         78        130         100.00000000         100.00000000
52         80        132         100.00000000         100.00000000
52         82        134         100.00000000         100.00000000
52         84        136         100.00000000         100.00000000
52         86        138         100.00000000         100.00000000
52         88        140         100.00000000         100.00000000
52         90        142         100.00000000         100.00000000
52         92        144         100.00000000         100.00000000
52         94        146         100.00000000         100.00000000
52         96        148         100.00000000         100.00000000
54         48        102         100.00000000         100.00000000
54         50        104         100.00000000         100.00000000
54         52        106         100.00000000         100.00000000
54         54        108         100.00000000         100.00000000
54         56        110         100.00000000         100.00000000
54         58        112         100.00000000         100.00000000
54         60        114         100.00000000         100.00000000
54         62        116         100.00000000         100.00000000
54         64        118         100.00000000         100.00000000
54         66        120         100.00000000         100.00000000
54         68        122         100.00000000         100.00000000
54         70        124         100.00000000         100.00000000
54         72        126         100.00000000         100.00000000
54         74        128         100.00000000         100.00000000
54         76        130         100.00000000         100.00000000
54         78        132         100.00000000         100.00000000
54         80        134         100.00000000         100.00000000
54         82        136         100.00000000         100.00000000
54         84        138         100.00000000         100.00000000
54         86        140         100.00000000         100.00000000
54         88        142         100.00000000         100.00000000
54         90        144         100.00000000         100.00000000
54         92        146         100.00000000         100.00000000
54         94        148         100.00000000         100.00000000
54         96        150         100.00000000         100.00000000
54         98        152         100.00000000         100.00000000
